;DIA;MES;AÑO;MUESTREO;CULTIVAR;VARIEDAD;PORTAINJERTO;REPETICION;CODIGO;EVALUADO;HUEVO ACARO HINDU;ADULTO ACARO HINDU;OTROS ACAROS;AFIDOS;MHC;HOJAS MINADAS;TOTAL HOJAS BROTE;ESCAMAS;MOSCA BLANCA;OBSERVACIONES
1;5;3;2019;M54;Naranja;ParsonBrown;SxE;3;20;H3;26;6;1;NA;1;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;ParsonBrown;SxE;3;20;H4;4;4;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;ParsonBrown;SxE;2;20;B1;NA;NA;NA;1;0;0;6;;NA;
2;5;3;2019;M54;Naranja;ParsonBrown;SxE;2;20;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
2;5;3;2019;M54;Naranja;ParsonBrown;SxE;2;20;H1;43;33;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;ParsonBrown;SxE;2;20;H2;99;4;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;ParsonBrown;SxE;2;20;H3;70;5;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;ParsonBrown;SxE;2;20;H4;97;14;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;ParsonBrown;SxE;1;20;B1;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Naranja;ParsonBrown;SxE;1;20;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Naranja;ParsonBrown;SxE;1;20;H1;0;0;1;NA;1;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;ParsonBrown;SxE;1;20;H2;2;0;1;NA;1;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;ParsonBrown;SxE;1;20;H3;0;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;ParsonBrown;SxE;1;20;H4;0;0;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;Pinneapple;SxE;3;21;B1;NA;NA;NA;1;0;0;4;;NA;
1;5;3;2019;M54;Naranja;Pinneapple;SxE;3;21;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
1;5;3;2019;M54;Naranja;Pinneapple;SxE;3;21;H1;0;0;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;Pinneapple;SxE;3;21;H2;10;4;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;Pinneapple;SxE;3;21;H3;0;0;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;Pinneapple;SxE;3;21;H4;12;9;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;Pinneapple;SxE;2;21;B1;NA;NA;NA;1;0;0;6;;NA;
2;5;3;2019;M54;Naranja;Pinneapple;SxE;2;21;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
2;5;3;2019;M54;Naranja;Pinneapple;SxE;2;21;H1;206;31;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;Pinneapple;SxE;2;21;H2;7;3;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;Pinneapple;SxE;2;21;H3;116;16;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;Pinneapple;SxE;2;21;H4;44;37;1;NA;1;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;Pinneapple;SxE;1;21;B1;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Naranja;Pinneapple;SxE;1;21;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Naranja;Pinneapple;SxE;1;21;H1;0;1;1;NA;1;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;Pinneapple;SxE;1;21;H2;0;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;Pinneapple;SxE;1;21;H3;21;54;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;Pinneapple;SxE;1;21;H4;10;2;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;V.Washington;SxE;3;22;B1;NA;NA;NA;1;0;0;10;;NA;
1;5;3;2019;M54;Naranja;V.Washington;SxE;3;22;B2;NA;NA;NA;1;0;0;7;;NA;
1;5;3;2019;M54;Naranja;V.Washington;SxE;3;22;H1;0;1;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;V.Washington;SxE;3;22;H2;7;4;1;NA;1;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;V.Washington;SxE;3;22;H3;1;3;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;V.Washington;SxE;3;22;H4;0;0;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;V.Washington;SxE;2;22;B1;NA;NA;NA;1;0;0;7;;NA;
2;5;3;2019;M54;Naranja;V.Washington;SxE;2;22;B2;NA;NA;NA;1;0;0;9;;NA;
2;5;3;2019;M54;Naranja;V.Washington;SxE;2;22;H1;93;32;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;V.Washington;SxE;2;22;H2;46;23;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;V.Washington;SxE;2;22;H3;0;4;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;V.Washington;SxE;2;22;H4;28;37;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;V.Washington;SxE;1;22;B1;NA;NA;NA;1;0;0;12;;NA;
3;5;3;2019;M54;Naranja;V.Washington;SxE;1;22;B2;NA;NA;NA;1;0;0;8;;NA;
3;5;3;2019;M54;Naranja;V.Washington;SxE;1;22;H1;39;5;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;V.Washington;SxE;1;22;H2;4;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;V.Washington;SxE;1;22;H3;0;1;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;V.Washington;SxE;1;22;H4;6;3;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;Sweety O;SxE;3;23;B1;NA;NA;NA;1;0;0;7;;NA;
1;5;3;2019;M54;Naranja;Sweety O;SxE;3;23;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
1;5;3;2019;M54;Naranja;Sweety O;SxE;3;23;H1;8;5;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;Sweety O;SxE;3;23;H2;17;4;1;NA;1;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;Sweety O;SxE;3;23;H3;72;15;1;NA;1;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;Sweety O;SxE;3;23;H4;77;28;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;Sweety O;SxE;2;23;B1;NA;NA;NA;1;0;0;8;;NA;
2;5;3;2019;M54;Naranja;Sweety O;SxE;2;23;B2;NA;NA;NA;1;0;0;4;;NA;
2;5;3;2019;M54;Naranja;Sweety O;SxE;2;23;H1;3;0;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;Sweety O;SxE;2;23;H2;0;0;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;Sweety O;SxE;2;23;H3;13;9;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;Sweety O;SxE;2;23;H4;22;10;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;Sweety O;SxE;1;23;B1;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Naranja;Sweety O;SxE;1;23;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Naranja;Sweety O;SxE;1;23;H1;9;11;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;Sweety O;SxE;1;23;H2;28;21;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;Sweety O;SxE;1;23;H3;6;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;Sweety O;SxE;1;23;H4;10;0;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;FrostValencia;SxE;3;24;B1;NA;NA;NA;1;0;0;4;;NA;
1;5;3;2019;M54;Naranja;FrostValencia;SxE;3;24;B2;NA;NA;NA;1;0;0;11;;NA;
1;5;3;2019;M54;Naranja;FrostValencia;SxE;3;24;H1;65;102;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;FrostValencia;SxE;3;24;H2;19;7;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;FrostValencia;SxE;3;24;H3;17;10;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;FrostValencia;SxE;3;24;H4;260;35;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;FrostValencia;SxE;2;24;B1;NA;NA;NA;1;1;2;5;;NA;
2;5;3;2019;M54;Naranja;FrostValencia;SxE;2;24;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
2;5;3;2019;M54;Naranja;FrostValencia;SxE;2;24;H1;6;1;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;FrostValencia;SxE;2;24;H2;24;7;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;FrostValencia;SxE;2;24;H3;20;1;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;FrostValencia;SxE;2;24;H4;41;15;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;FrostValencia;SxE;1;24;B1;NA;NA;NA;1;0;0;8;;NA;
3;5;3;2019;M54;Naranja;FrostValencia;SxE;1;24;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Naranja;FrostValencia;SxE;1;24;H1;2;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;FrostValencia;SxE;1;24;H2;8;5;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;FrostValencia;SxE;1;24;H3;25;4;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;FrostValencia;SxE;1;24;H4;42;2;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;GarciaVal;SxE;3;25;B1;NA;NA;NA;1;0;0;7;;NA;
1;5;3;2019;M54;Naranja;GarciaVal;SxE;3;25;B2;NA;NA;NA;1;0;0;9;;NA;
1;5;3;2019;M54;Naranja;GarciaVal;SxE;3;25;H1;104;48;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;GarciaVal;SxE;3;25;H2;14;1;1;NA;1;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;GarciaVal;SxE;3;25;H3;1;3;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Naranja;GarciaVal;SxE;3;25;H4;9;4;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;GarciaVal;SxE;2;25;B1;NA;NA;NA;NA;NA;NA;NA;;NA;
2;5;3;2019;M54;Naranja;GarciaVal;SxE;2;25;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
2;5;3;2019;M54;Naranja;GarciaVal;SxE;2;25;H1;33;2;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;GarciaVal;SxE;2;25;H2;14;12;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;GarciaVal;SxE;2;25;H3;4;1;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Naranja;GarciaVal;SxE;2;25;H4;37;23;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;GarciaVal;SxE;1;25;B1;NA;NA;NA;1;0;0;11;;NA;
3;5;3;2019;M54;Naranja;GarciaVal;SxE;1;25;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Naranja;GarciaVal;SxE;1;25;H1;1;0;1;NA;1;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;GarciaVal;SxE;1;25;H2;35;20;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;GarciaVal;SxE;1;25;H3;12;9;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Naranja;GarciaVal;SxE;1;25;H4;36;6;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;M.Oneco;SxE;2;26;B1;NA;NA;NA;1;1;5;5;;NA;
1;5;3;2019;M54;Mandarina;M.Oneco;SxE;2;26;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
1;5;3;2019;M54;Mandarina;M.Oneco;SxE;2;26;H1;16;18;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;M.Oneco;SxE;2;26;H2;3;3;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;M.Oneco;SxE;2;26;H3;24;11;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;M.Oneco;SxE;2;26;H4;7;7;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;M.Oneco;SxE;3;26;B1;NA;NA;NA;1;1;5;5;;NA;
2;5;3;2019;M54;Mandarina;M.Oneco;SxE;3;26;B2;NA;NA;NA;1;1;1;5;;NA;
2;5;3;2019;M54;Mandarina;M.Oneco;SxE;3;26;H1;3;4;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;M.Oneco;SxE;3;26;H2;9;16;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;M.Oneco;SxE;3;26;H3;15;17;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;M.Oneco;SxE;3;26;H4;42;22;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;M.Oneco;SxE;1;26;B1;NA;NA;NA;1;1;2;6;;NA;
3;5;3;2019;M54;Mandarina;M.Oneco;SxE;1;26;B2;NA;NA;NA;1;0;0;4;;NA;
3;5;3;2019;M54;Mandarina;M.Oneco;SxE;1;26;H1;13;25;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;M.Oneco;SxE;1;26;H2;3;3;1;NA;1;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;M.Oneco;SxE;1;26;H3;0;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;M.Oneco;SxE;1;26;H4;46;44;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;3;27;B1;NA;NA;NA;2;0;0;11;;NA;
1;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;3;27;B2;NA;NA;NA;1;0;0;10;;NA;
1;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;3;27;H1;38;17;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;3;27;H2;45;12;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;3;27;H3;19;13;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;3;27;H4;5;7;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;2;27;B1;NA;NA;NA;1;0;0;11;;NA;
2;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;2;27;B2;NA;NA;NA;1;0;0;12;;NA;
2;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;2;27;H1;1;10;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;2;27;H2;5;2;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;2;27;H3;8;0;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;2;27;H4;79;35;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;1;27;B1;NA;NA;NA;1;0;0;12;;NA;
3;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;1;27;B2;NA;NA;NA;1;0;0;10;;NA;
3;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;1;27;H1;6;3;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;1;27;H2;8;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;1;27;H3;13;6;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;OwariSatsuma;SxE;1;27;H4;62;6;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;M.Arrayana;SxE;2;28;B1;NA;NA;NA;1;0;0;7;;NA;
1;5;3;2019;M54;Mandarina;M.Arrayana;SxE;2;28;B2;NA;NA;NA;1;0;0;9;;NA;
1;5;3;2019;M54;Mandarina;M.Arrayana;SxE;2;28;H1;1;3;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;M.Arrayana;SxE;2;28;H2;31;5;1;NA;1;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;M.Arrayana;SxE;2;28;H3;36;28;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;M.Arrayana;SxE;2;28;H4;15;9;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;M.Arrayana;SxE;1;28;B1;NA;NA;NA;1;1;2;7;;NA;
2;5;3;2019;M54;Mandarina;M.Arrayana;SxE;1;28;B2;NA;NA;NA;1;0;0;6;;NA;
2;5;3;2019;M54;Mandarina;M.Arrayana;SxE;1;28;H1;34;52;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;M.Arrayana;SxE;1;28;H2;18;21;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;M.Arrayana;SxE;1;28;H3;0;0;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;M.Arrayana;SxE;1;28;H4;19;4;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;M.Arrayana;SxE;3;28;B1;NA;NA;NA;1;1;2;5;;NA;
3;5;3;2019;M54;Mandarina;M.Arrayana;SxE;3;28;B2;NA;NA;NA;1;1;1;6;;NA;
3;5;3;2019;M54;Mandarina;M.Arrayana;SxE;3;28;H1;52;21;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;M.Arrayana;SxE;3;28;H2;9;3;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;M.Arrayana;SxE;3;28;H3;33;44;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;M.Arrayana;SxE;3;28;H4;16;7;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;FairChild;SxE;2;29;B1;NA;NA;NA;NA;NA;NA;NA;;NA;
1;5;3;2019;M54;Mandarina;FairChild;SxE;2;29;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
1;5;3;2019;M54;Mandarina;FairChild;SxE;2;29;H1;3;1;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;FairChild;SxE;2;29;H2;22;3;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;FairChild;SxE;2;29;H3;17;26;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Mandarina;FairChild;SxE;2;29;H4;7;13;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;FairChild;SxE;3;29;B1;NA;NA;NA;NA;NA;NA;NA;;NA;
2;5;3;2019;M54;Mandarina;FairChild;SxE;3;29;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
2;5;3;2019;M54;Mandarina;FairChild;SxE;3;29;H1;9;12;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;FairChild;SxE;3;29;H2;15;3;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;FairChild;SxE;3;29;H3;1;0;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Mandarina;FairChild;SxE;3;29;H4;6;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;FairChild;SxE;1;29;B1;NA;NA;NA;1;0;0;6;;NA;
3;5;3;2019;M54;Mandarina;FairChild;SxE;1;29;B2;NA;NA;NA;1;0;0;11;;NA;
3;5;3;2019;M54;Mandarina;FairChild;SxE;1;29;H1;3;12;1;NA;1;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;FairChild;SxE;1;29;H2;21;3;1;NA;1;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;FairChild;SxE;1;29;H3;0;10;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Mandarina;FairChild;SxE;1;29;H4;11;16;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;Eureka;SxE;2;30;B1;NA;NA;NA;NA;NA;NA;NA;;NA;
1;5;3;2019;M54;Limón;Eureka;SxE;2;30;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
1;5;3;2019;M54;Limón;Eureka;SxE;2;30;H1;12;17;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;Eureka;SxE;2;30;H2;16;6;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;Eureka;SxE;2;30;H3;7;4;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;Eureka;SxE;2;30;H4;77;8;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;Eureka;SxE;1;30;B1;NA;NA;NA;1;0;0;14;;NA;
2;5;3;2019;M54;Limón;Eureka;SxE;1;30;B2;NA;NA;NA;1;1;2;12;;NA;
2;5;3;2019;M54;Limón;Eureka;SxE;1;30;H1;29;22;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;Eureka;SxE;1;30;H2;10;11;1;NA;1;NA;NA;NA;0;
2;5;3;2019;M54;Limón;Eureka;SxE;1;30;H3;28;4;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;Eureka;SxE;1;30;H4;9;7;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;Eureka;SxE;3;30;B1;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Limón;Eureka;SxE;3;30;B2;NA;NA;NA;NA;NA;NA;NA;;NA;
3;5;3;2019;M54;Limón;Eureka;SxE;3;30;H1;11;6;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;Eureka;SxE;3;30;H2;16;7;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;Eureka;SxE;3;30;H3;37;7;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;Eureka;SxE;3;30;H4;0;2;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;Perrine;SxE;2;31;B1;NA;NA;NA;1;0;0;9;;NA;
1;5;3;2019;M54;Limón;Perrine;SxE;2;31;B2;NA;NA;NA;1;0;0;9;;NA;
1;5;3;2019;M54;Limón;Perrine;SxE;2;31;H1;2;13;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;Perrine;SxE;2;31;H2;0;1;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;Perrine;SxE;2;31;H3;11;1;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;Perrine;SxE;2;31;H4;0;0;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;Perrine;SxE;3;31;B1;NA;NA;NA;1;0;0;8;;NA;
2;5;3;2019;M54;Limón;Perrine;SxE;3;31;B2;NA;NA;NA;1;0;0;7;;NA;
2;5;3;2019;M54;Limón;Perrine;SxE;3;31;H1;0;0;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;Perrine;SxE;3;31;H2;1;0;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;Perrine;SxE;3;31;H3;3;1;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;Perrine;SxE;3;31;H4;16;3;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;Perrine;SxE;1;31;B1;NA;NA;NA;1;0;0;7;;NA;
3;5;3;2019;M54;Limón;Perrine;SxE;1;31;B2;NA;NA;NA;1;0;0;8;;NA;
3;5;3;2019;M54;Limón;Perrine;SxE;1;31;H1;116;9;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;Perrine;SxE;1;31;H2;1;1;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;Perrine;SxE;1;31;H3;3;1;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;Perrine;SxE;1;31;H4;0;0;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;L.Pajarito;SxE;2;32;B1;NA;NA;NA;1;0;0;7;;NA;
1;5;3;2019;M54;Limón;L.Pajarito;SxE;2;32;B2;NA;NA;NA;1;0;0;8;;NA;
1;5;3;2019;M54;Limón;L.Pajarito;SxE;2;32;H1;1;2;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;L.Pajarito;SxE;2;32;H2;10;9;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;L.Pajarito;SxE;2;32;H3;7;3;1;NA;0;NA;NA;NA;0;
1;5;3;2019;M54;Limón;L.Pajarito;SxE;2;32;H4;0;0;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;L.Pajarito;SxE;3;32;B1;NA;NA;NA;1;0;0;11;;NA;
2;5;3;2019;M54;Limón;L.Pajarito;SxE;3;32;B2;NA;NA;NA;1;0;0;8;;NA;
2;5;3;2019;M54;Limón;L.Pajarito;SxE;3;32;H1;2;2;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;L.Pajarito;SxE;3;32;H2;0;1;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;L.Pajarito;SxE;3;32;H3;0;0;1;NA;0;NA;NA;NA;0;
2;5;3;2019;M54;Limón;L.Pajarito;SxE;3;32;H4;11;4;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;L.Pajarito;SxE;1;32;B1;NA;NA;NA;1;0;0;9;;NA;
3;5;3;2019;M54;Limón;L.Pajarito;SxE;1;32;B2;NA;NA;NA;1;0;0;10;;NA;
3;5;3;2019;M54;Limón;L.Pajarito;SxE;1;32;H1;1;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;L.Pajarito;SxE;1;32;H2;0;0;1;NA;1;NA;NA;NA;0;
3;5;3;2019;M54;Limón;L.Pajarito;SxE;1;32;H3;1;0;1;NA;0;NA;NA;NA;0;
3;5;3;2019;M54;Limón;L.Pajarito;SxE;1;32;H4;0;2;1;NA;0;NA;NA;NA;0;
1;20;3;2019;M55;Naranja;PeradelRio;CPB4475;3;1;B1;NA;NA;NA;1;0;0;6;;NA;
1;20;3;2019;M55;Naranja;PeradelRio;CPB4475;3;1;B2;NA;NA;NA;1;0;0;6;;NA;
1;20;3;2019;M55;Naranja;PeradelRio;CPB4475;3;1;H1;8;1;1;NA;0;NA;NA;NA;0;
1;20;3;2019;M55;Naranja;PeradelRio;CPB4475;3;1;H2;6;0;1;NA;0;NA;NA;NA;0;
1;20;3;2019;M55;Naranja;PeradelRio;CPB4475;3;1;H3;24;18;1;NA;0;NA;NA;NA;0;
1;20;3;2019;M55;Naranja;PeradelRio;CPB4475;3;1;H4;3;0;1;NA;0;NA;NA;NA;0;
2;20;3;2019;M55;Naranja;PeradelRio;CPB4475;2;1;B1;NA;NA;NA;1;0;0;8;;NA;
2;20;3;2019;M55;Naranja;PeradelRio;CPB4475;2;1;B2;NA;NA;NA;1;0;0;9;;NA;
